функция	function
точка	point
последовательность случайный величина	random_variable_sequence
последовательность функция	function_sequence
случайный величина	random_variable
отрезок	closed_interval	
пространство	space
многочлен	polynom
подмножество	subset
интервал	open_interval
множество	set
последовательность	sequence
суперпозиция	superposition
функционал	functional
интеграл лебег	Lebesgue_integral
пространство евклид	Euclidian_space
точка множество	point_of_set
гильбертово пространство	hilbert_space
простой число	prime_number
натуральный число	natural_number
элемент	element
липшицев функция	Lipschitz_function
евклидовать пространство	euclidean_space
оператор	operator
сегмент	segment
